key	text	tooltip
#Loc;1;text/db/__Dilemmas_Choice_Family.loc		
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20001FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20008FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20015FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20022FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20029FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20036FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20043FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20050FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20057FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20064FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20071FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20078FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20085FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20092FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20099FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20106FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20113FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20120FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20127FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20134FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20141FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20148FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20155FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20162FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20169FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20176FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20183FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20190FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20197FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20204FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20211FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20218FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20225FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20232FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20239FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20246FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20253FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20260FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20267FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20274FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20281FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20288FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20295FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20302FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20309FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20316FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20323FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20330FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20337FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20344FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20351FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20358FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20365FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20372FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20379FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20386FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20393FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20400FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20407FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20414FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20421FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20428FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20435FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20442FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20449FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20456FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20463FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20470FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20477FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20484FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20491FIRST	This man will join your party as a general.	true
cdir_events_dilemma_choice_details_localised_choice_label_dei_dilemma_family_20498FIRST	This man will join your party as a general.	true
