key	text	tooltip
#Loc;1;text/db/__Message_Event_Text_DeI.loc		
message_event_text_text_attrition_desert	Deserts are inhospitable during Summer, and supply lines can not be established through them.	true
message_event_text_text_attrition_snow	Alpine passes are blocked by snow during Winter, and supply lines can not be established through them.	true
message_event_text_text_custom_event_2	War dictates that unnatural allies fight together and that drastic measures are taken to defeat a common enemy. However, the Greek world does not look kindly upon expansionism.\\n\\nThe capture of the capital cities – Pella, Pergamon, Rodos and Athens, will cause [[col:red]]severe diplomatic penalties.[[/col]] Instead, aim to erode enemy influence by striking at their smaller possessions. Recapturing your own capital will not incur a penalty.	true
message_event_text_text_custom_event_504	Once a Carthaginian ally and within their sphere of influence, Messina has been taken within the Roman area of control. This new push into Sicily has caused the two major powers to begin eyeing the island between them as the staging ground for war. Although they were once allies, the two preeminent powers of the Western Mediterrenean now seem on a collision course for conflict. The aging hegemony of the Carthaginian Republic now faces an up and coming Rome that could threaten its power in the region.	true
message_event_text_text_custom_event_510	After years of enmity have built up between the Hellenic overlords of the Seleukid dynasty and their eastern vassals, the desire for independence has boiled over. Multiple satrapies have rebelled against their overlords, hoping to carve out their own kingdoms and call upon the ancient glories of Persia's past.	true
message_event_text_text_custom_event_520	Although the great Seleukid empire stretches across the known Persian world, the hold over these lands is tenuous at best. Alexander was a force of personality that held together a disparate empire of multiple cultures and religions. Will you be able to do the same? Should your eastern satrapies begin to look upon their overlords with suspicion and disdain, the possibility of revolt will grow ever higher. Be careful to watch their diplomatic levels and prepare for the worst should too many of them grow in power and decide you are no longer a necessity for rule.	true
message_event_text_text_custom_event_530	We are relative newcomers in this land, but we mean to make our mark. Our culture and heritage will spread across this land and well into the northern steppes. As we gain more knowledge from these nomadic lands and spread our traditions there, we may see some adaptations of our own weapons and tactics.	true
message_event_text_text_custom_event_531	We have reached a new military reform.\\n\\nAs our lands and culture have expanded into the nomadic steppes, new ways of warfare have been developed. Learning from an enemy can be as valuable a tool in warfare as a sword or shield.	true
message_event_text_text_custom_event_532	Maurya has reached a new military reform.\\n\\nAs their lands and culture have expanded into the nomadic steppes, new ways of warfare have been developed. Learning from an enemy can be as valuable a tool in warfare as a sword or shield.	true
message_event_text_text_custom_event_600	Trait: Brawler\\n\\nAfter a battle in which his presence only served to get his bodyguards killed and endanger those around him, this man is no longer viewed as great a physical thread on the battlefield as he used to be. Perhaps in time and with more personal moments of glory in battles he may regain his previous stature as a more feared combatant.	true
message_event_text_text_custom_event_601	Trait: Commander\\n\\nAlthough he may be successful at times on the field of battle, this man's strategies have lost too many of his men to injury and death. Perhaps he is not as brilliant a tactician as he believed himself to be. Given time and more careful planning, he may yet regain his confidence and the positive perception of those around him as a competent commander.	true
message_event_text_text_custom_event_602	Trait: Intellectual\\n\\nThis man has failed to govern the local province properly and the public unrest in the region reflects that lack of judgement. Perhaps with further study at libraries and academies, along with improved results, this man will regain his status as a trusted intellectual figure.	true
message_event_text_text_custom_event_9201	After many battles lost, this general has seen the horrors of war up close. Comrades lying dead on the battlefield, enemy swords at his throat, and the incessant cries of the wounded have blunted this man's bravery. After this latest battle where his closest friends have been slaughtered, this man now sees the world in a much more jaded light.	true
message_event_text_text_custom_event_9202	After many battles lost, this general has seen the horrors of war up close. Comrades lying dead on the battlefield, enemy swords at his throat, and the incessant cries of the wounded have blunted this man's bravery. He has gone from being full of himself to obsessively worried.	true
message_event_text_text_custom_event_9203	After many battles lost, this general has seen the horrors of war up close. Comrades lying dead on the battlefield, enemy swords at his throat, and the incessant cries of the wounded have blunted this man's bravery. Perhaps his nature is better suited to the pen than the sword.	true
message_event_text_text_custom_event_9204	After many battles lost, this general has seen the horrors of war up close. Comrades lying dead on the battlefield, enemy swords at his throat, and the incessant cries of the wounded have blunted this man's bravery. Perhaps his nature is better suited to the pen than the sword.	true
